,feature,fold_1,fold_2,fold_3,fold_4,fold_5,average
186,num_of_word_6_cnt_Y_div,26,143,77,63,104,82.6
256,num_of_word_12_cnt_Z_div,67,71,57,68,149,82.4
332,num_of_word_3_num_of_word_32_div,145,67,64,52,84,82.4
308,num_of_word_2_num_of_word_5_mul,97,45,99,21,149,82.2
334,num_of_word_18_num_of_word_9_div,51,37,65,78,180,82.2
207,num_of_word_9_num_of_word_22_mul,52,77,94,80,107,82.0
337,num_of_word_10_cnt_X_mul,44,117,34,20,195,82.0
166,num_of_word_8_num_of_word_19_div,1,38,192,24,153,81.6
299,num_of_word_26_num_of_word_28_div,98,54,44,48,164,81.6
373,num_of_word_14_cnt_Y_mul,91,85,66,24,140,81.2
329,cnt_X_num_of_word_0_div,76,136,64,41,89,81.2
189,num_of_word_6_num_of_word_13_mul,25,103,101,28,147,80.8
294,num_of_word_3_num_of_word_27_mul,50,12,185,74,83,80.8
254,num_of_word_30_num_of_word_32_div,24,108,104,83,84,80.6
309,num_of_word_4_num_of_word_14_div,68,34,125,9,167,80.6
280,num_of_word_24_num_of_word_32_div,55,49,46,87,165,80.4
319,num_of_word_11_num_of_word_8_div,50,126,52,44,130,80.4
355,num_of_word_19_num_of_word_24_div,93,70,41,69,127,80.0
321,num_of_word_17_num_of_word_6_div,44,67,30,68,189,79.6
320,num_of_word_9_cnt_Z_mul,30,79,63,86,140,79.6
336,num_of_word_7_num_of_word_19_mul,86,66,55,61,129,79.4
214,num_of_word_7_num_of_word_28_div,99,15,74,115,93,79.2
172,num_of_word_1_num_of_word_17_mul,103,57,95,57,84,79.2
213,num_of_word_17_num_of_word_20_div,87,92,91,55,71,79.2
323,num_of_word_11_num_of_word_17_div,83,101,33,29,149,79.0
335,num_of_word_20_cnt_Y_mul,72,56,87,58,122,79.0
260,num_of_word_11_num_of_word_12_mul,74,18,111,53,139,79.0
347,num_of_word_17_num_of_word_19_mul,81,15,43,176,80,79.0
351,num_of_word_6_num_of_word_2_div,84,48,54,28,180,78.8
252,num_of_word_20_num_of_word_24_mul,95,63,90,24,122,78.8
245,num_of_word_33_num_of_word_34_div,57,85,117,72,61,78.4
273,num_of_word_14_num_of_word_33_div,44,99,106,27,115,78.2
253,num_of_word_4_num_of_word_7_div,58,54,67,52,159,78.0
180,num_of_word_2_num_of_word_12_div,68,70,127,46,79,78.0
459,num_of_word_16_num_of_word_10_div,63,31,45,65,186,78.0
188,num_of_word_4,75,82,70,20,142,77.8
275,num_of_word_13_num_of_word_18_mul,72,48,66,70,133,77.8
196,num_of_word_7_num_of_word_22_mul,129,51,27,62,120,77.8
358,num_of_word_17_num_of_word_3_div,74,33,27,77,177,77.6
310,num_of_word_10_num_of_word_22_div,82,30,68,123,84,77.4
292,num_of_word_7_num_of_word_8_mul,81,56,54,51,143,77.0
297,num_of_word_23_num_of_word_20_div,69,93,87,17,119,77.0
353,num_of_word_15_num_of_word_14_div,30,93,85,64,111,76.6
242,num_of_word_25_num_of_word_34_div,71,100,70,95,47,76.6
324,num_of_word_24_num_of_word_25_mul,69,12,107,27,166,76.2
400,num_of_word_2_num_of_word_9_div,27,39,92,35,188,76.2
237,num_of_word_11_cnt_Y_mul,42,88,83,29,139,76.2
284,cnt_Y_num_of_word_35_mul,69,82,56,3,171,76.2
239,num_of_word_0_num_of_word_22_div,72,115,46,78,69,76.0
300,num_of_word_25_num_of_word_27_div,81,55,44,50,150,76.0
163,num_of_word_1_cnt_X_mul,69,79,98,20,113,75.8
311,num_of_word_12_num_of_word_29_div,139,23,20,71,126,75.8
303,num_of_word_3_cnt_Y_div,98,46,63,45,126,75.6
360,num_of_word_0_num_of_word_12_div,67,63,78,51,118,75.4
302,num_of_word_12_num_of_word_16_div,36,82,147,49,61,75.0
307,num_of_word_0_num_of_word_12_mul,38,52,110,81,94,75.0
363,num_of_word_10_num_of_word_15_mul,73,22,100,57,121,74.6
339,num_of_word_4_num_of_word_10_mul,38,42,132,26,135,74.6
396,num_of_word_15_num_of_word_16_mul,21,43,58,23,227,74.4
293,num_of_word_12_num_of_word_2_div,71,56,70,34,140,74.2
327,num_of_word_4_num_of_word_20_mul,50,51,43,56,170,74.0
219,num_of_word_13_num_of_word_4_div,89,109,65,16,90,73.8
462,num_of_word_0_num_of_word_1_mul,81,44,89,73,81,73.6
267,num_of_word_5_num_of_word_10_mul,17,138,143,13,55,73.2
322,num_of_word_13_num_of_word_30_mul,36,81,90,31,127,73.0
314,num_of_word_5_num_of_word_16_div,68,51,41,32,173,73.0
376,cnt_Y_num_of_word_24_mul,63,63,34,62,142,72.8
365,num_of_word_13_num_of_word_15_div,53,71,78,45,117,72.8
231,num_of_word_10_num_of_word_18_mul,58,26,101,22,157,72.8
374,num_of_word_3_num_of_word_5_div,91,77,78,25,91,72.4
272,num_of_word_5_cnt_X_mul,51,41,38,38,194,72.4
407,num_of_word_6_num_of_word_1_div,50,27,111,7,165,72.0
375,num_of_word_2_cnt_Y_mul,69,51,59,86,93,71.6
341,num_of_word_2_num_of_word_13_mul,31,47,76,99,103,71.2
349,num_of_word_17_num_of_word_33_div,51,95,33,106,71,71.2
283,num_of_word_12_num_of_word_13_mul,30,111,74,40,101,71.2
371,num_of_word_21_num_of_word_27_div,15,35,145,77,83,71.0
316,num_of_word_5_num_of_word_7_mul,104,49,65,56,79,70.6
388,num_of_word_23_num_of_word_9_div,101,47,37,40,128,70.6
370,num_of_word_29_num_of_word_16_div,30,58,102,62,100,70.4
394,num_of_word_12_num_of_word_7_div,72,106,59,36,77,70.0
338,num_of_word_5_num_of_word_11_div,66,32,57,63,131,69.8
317,num_of_word_0_num_of_word_6_mul,80,70,64,25,110,69.8
346,cnt_Y_num_of_word_6_div,79,43,68,88,71,69.8
255,num_of_word_9_num_of_word_14_div,65,76,36,36,136,69.8
419,num_of_word_4_num_of_word_13_div,71,29,53,25,171,69.8
340,num_of_word_4_num_of_word_18_div,67,56,74,40,111,69.6
399,num_of_word_9_cnt_Y_div,27,62,114,11,134,69.6
378,num_of_word_19_num_of_word_18_mul,94,48,53,27,126,69.6
348,num_of_word_22_num_of_word_21_div,49,55,75,43,126,69.6
350,num_of_word_12_num_of_word_11_div,92,57,28,53,117,69.4
447,num_of_word_17_num_of_word_18_mul,12,33,190,34,78,69.4
397,num_of_word_5_num_of_word_29_mul,98,49,94,54,52,69.4
359,num_of_word_0_num_of_word_11_mul,110,29,71,89,47,69.2
387,num_of_word_2_num_of_word_18_div,26,54,91,24,150,69.0
449,num_of_word_5_num_of_word_4_div,33,33,54,41,184,69.0
312,num_of_word_8_cnt_X_div,40,12,104,71,118,69.0
285,num_of_word_12_num_of_word_15_div,47,38,97,25,137,68.8
333,num_of_word_10_cnt_X_div,31,50,104,50,109,68.8
386,num_of_word_15_num_of_word_11_div,18,72,83,40,130,68.6
398,num_of_word_19_cnt_Z_mul,58,50,96,75,64,68.6
384,cnt_Y,62,42,104,63,70,68.2
